epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5854,1.23317,1.52838,1.28217,0.00089,0.305,0.00209,0.00049,2.76567,9.56584,5.56144,0.00027584,0.00027584,0.00027584
2,51.2494,0.9767,0.66427,1.0994,0,0,0,0,3.47676,13.8934,4.70407,0.000549853,0.000549853,0.000549853
3,75.6898,0.91175,0.58678,1.06518,0,0,0,0,4.09756,21.9711,5.83373,0.000820202,0.000820202,0.000820202
4,100.963,0.89429,0.56282,1.0619,0,0,0,0,3.28199,18.7107,5.16519,0.000816507,0.000816507,0.000816507
5,127.683,0.83389,0.5061,1.02912,0,0,0,0,3.48378,17.495,5.37796,0.000811009,0.000811009,0.000811009
6,154.098,0.8107,0.48737,1.01886,0,0,0,0,3.42939,17.8102,5.24023,0.000805511,0.000805511,0.000805511
7,180.255,0.7888,0.46412,1.00569,0,0,0,0,3.7406,19.7477,5.23294,0.000800013,0.000800013,0.000800013
8,206.61,0.75933,0.44507,0.99211,0,0,0,0,3.4365,16.564,5.0842,0.000794515,0.000794515,0.000794515
9,232.816,0.7671,0.45106,0.99769,0,0,0,0,3.69561,18.1686,5.15293,0.000789018,0.000789018,0.000789018
10,257.045,0.74063,0.43419,0.98383,0,0,0,0,3.67413,20.1566,5.02273,0.00078352,0.00078352,0.00078352
11,281.372,0.70892,0.41374,0.96543,0,0,0,0,3.50315,18.043,4.9589,0.000778022,0.000778022,0.000778022
12,305.815,0.69451,0.40478,0.96021,0,0,0,0,3.50629,19.4991,4.8993,0.000772524,0.000772524,0.000772524
13,330.11,0.69024,0.39993,0.95998,0,0,0,0,3.31049,18.6167,4.67954,0.000767026,0.000767026,0.000767026
14,354.275,0.6778,0.39417,0.95282,0,0,0,0,4.00478,22.9562,5.10209,0.000761529,0.000761529,0.000761529
15,378.526,0.67656,0.39099,0.9509,0,0,0,0,3.83613,21.2146,4.99682,0.000756031,0.000756031,0.000756031
16,402.86,0.65123,0.37879,0.94443,0,0,0,0,3.61481,20.9091,4.78667,0.000750533,0.000750533,0.000750533
17,427.36,0.65729,0.38143,0.9518,0,0,0,0,3.82019,25.8711,5.365,0.000745035,0.000745035,0.000745035
18,451.637,0.63952,0.372,0.94041,0,0,0,0,3.91885,24.107,5.39884,0.000739537,0.000739537,0.000739537
19,475.926,0.62951,0.36449,0.93566,0,0,0,0,3.49299,25.2175,4.90252,0.00073404,0.00073404,0.00073404
20,499.913,0.61664,0.35688,0.92549,0,0,0,0,3.58825,24.6175,4.98494,0.000728542,0.000728542,0.000728542
21,524.347,0.61513,0.35388,0.9285,0,0,0,0,4.00524,25.8198,5.51768,0.000723044,0.000723044,0.000723044
22,548.497,0.60345,0.34971,0.92691,0,0,0,0,3.79514,23.6559,5.24157,0.000717546,0.000717546,0.000717546
23,572.701,0.60063,0.35019,0.9227,0,0,0,0,4.03727,25.271,5.40799,0.000712048,0.000712048,0.000712048
24,596.88,0.60088,0.34742,0.92307,0,0,0,0,3.76622,22.9277,4.98413,0.000706551,0.000706551,0.000706551
25,621.358,0.58511,0.34361,0.91884,0,0,0,0,3.79497,24.0011,5.01547,0.000701053,0.000701053,0.000701053
26,645.61,0.58669,0.33881,0.91675,0,0,0,0,3.37482,21.4973,4.49314,0.000695555,0.000695555,0.000695555
27,669.753,0.58625,0.33631,0.91803,0,0,0,0,3.596,21.8559,4.86692,0.000690057,0.000690057,0.000690057
28,693.87,0.5836,0.33386,0.91226,0,0,0,0,3.75213,22.9237,5.00711,0.000684559,0.000684559,0.000684559
29,717.976,0.56301,0.32621,0.90838,0,0,0,0,3.59235,22.1439,4.73513,0.000679062,0.000679062,0.000679062
30,742.161,0.55344,0.3227,0.90275,0,0,0,0,3.47346,20.6454,4.84797,0.000673564,0.000673564,0.000673564
31,766.413,0.55901,0.32452,0.90498,0,0,0,0,3.3997,21.57,4.72544,0.000668066,0.000668066,0.000668066
32,790.741,0.54959,0.32069,0.89972,0,0,0,0,3.63856,22.5214,4.98964,0.000662568,0.000662568,0.000662568
33,814.869,0.55136,0.32128,0.9043,0,0,0,0,3.3936,21.484,4.74173,0.00065707,0.00065707,0.00065707
34,839.263,0.5439,0.31883,0.89979,0,0,0,0,3.38632,22.3147,4.6749,0.000651573,0.000651573,0.000651573
35,863.687,0.53564,0.31135,0.90341,0,0,0,0,3.57663,22.2391,4.92682,0.000646075,0.000646075,0.000646075
36,888.071,0.5317,0.30923,0.89353,0,0,0,0,3.45697,22.8918,4.82951,0.000640577,0.000640577,0.000640577
37,912.603,0.52984,0.3108,0.89739,0,0,0,0,3.52454,23.1276,5.03277,0.000635079,0.000635079,0.000635079
38,936.915,0.52433,0.3095,0.89464,0,0,0,0,3.625,23.3107,5.14711,0.000629581,0.000629581,0.000629581
39,961.268,0.52469,0.30349,0.89571,0,0,0,0,3.66866,23.7736,5.17301,0.000624084,0.000624084,0.000624084
40,985.524,0.52344,0.30638,0.89452,0,0,0,0,3.66279,23.4629,5.23538,0.000618586,0.000618586,0.000618586
41,1009.61,0.51198,0.29863,0.8874,0,0,0,0,3.73993,23.8869,5.30562,0.000613088,0.000613088,0.000613088
42,1033.92,0.50815,0.29757,0.88879,0,0,0,0,3.6161,22.9114,5.14326,0.00060759,0.00060759,0.00060759
43,1058.14,0.51402,0.30199,0.88607,0,0,0,0,3.64761,24.7067,5.10257,0.000602092,0.000602092,0.000602092
44,1082.34,0.51134,0.29778,0.88803,0,0,0,0,3.60465,24.3558,5.23289,0.000596595,0.000596595,0.000596595
45,1106.58,0.50184,0.29319,0.88509,0,0,0,0,3.38466,21.6283,4.99264,0.000591097,0.000591097,0.000591097
46,1130.92,0.49814,0.29282,0.87947,0,0,0,0,3.53294,23.1847,5.12799,0.000585599,0.000585599,0.000585599
47,1155.31,0.49194,0.28778,0.88055,0,0,0,0,3.60031,22.7293,5.31673,0.000580101,0.000580101,0.000580101
48,1179.54,0.49539,0.28809,0.88523,0,0,0,0,3.58577,22.6842,5.34535,0.000574603,0.000574603,0.000574603
49,1204.32,0.49231,0.28896,0.88363,0,0,0,0,3.5352,22.822,5.33886,0.000569106,0.000569106,0.000569106
50,1228.63,0.48452,0.28389,0.87367,0,0,0,0,3.58929,22.53,5.27603,0.000563608,0.000563608,0.000563608
51,1253.07,0.49613,0.28907,0.88097,0,0,0,0,3.43537,23.6552,5.27113,0.00055811,0.00055811,0.00055811
1,27.3301,1.23317,1.52838,1.28217,0.00089,0.305,0.00209,0.00049,2.76567,9.56584,5.56144,0.00027584,0.00027584,0.00027584
2,52.9312,0.9767,0.66427,1.0994,0,0,0,0,3.47676,13.8934,4.70407,0.000549853,0.000549853,0.000549853
3,78.1426,0.91175,0.58678,1.06518,0,0,0,0,4.09756,21.9711,5.83373,0.000820202,0.000820202,0.000820202
4,103.242,0.89429,0.56282,1.0619,0,0,0,0,3.28199,18.7107,5.16519,0.000816507,0.000816507,0.000816507
5,128.097,0.83389,0.5061,1.02912,0,0,0,0,3.48378,17.495,5.37796,0.000811009,0.000811009,0.000811009
6,153.315,0.8107,0.48737,1.01886,0,0,0,0,3.42939,17.8102,5.24023,0.000805511,0.000805511,0.000805511
7,178.352,0.7888,0.46412,1.00569,0,0,0,0,3.7406,19.7477,5.23294,0.000800013,0.000800013,0.000800013
8,203.532,0.75933,0.44507,0.99211,0,0,0,0,3.4365,16.564,5.0842,0.000794515,0.000794515,0.000794515
